date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,212.55,214.4,204.55,205.75,57245
2024-06-04 00:00:00+05:30,206.0,208.95,191.0,203.1,144366
2024-06-05 00:00:00+05:30,207.7,209.9,199.0,208.85,65928
2024-06-06 00:00:00+05:30,210.0,222.0,210.0,217.35,277343
2024-06-07 00:00:00+05:30,218.75,238.0,218.75,233.8,979582
2024-06-10 00:00:00+05:30,248.89,248.89,240.0,242.34,521766
2024-06-11 00:00:00+05:30,241.95,241.95,232.0,234.12,188175
2024-06-12 00:00:00+05:30,235.3,238.8,232.01,232.84,98815
2024-06-13 00:00:00+05:30,234.2,237.5,230.64,231.89,118562
2024-06-14 00:00:00+05:30,232.2,234.4,228.06,229.28,79572
2024-06-18 00:00:00+05:30,229.28,241.89,224.12,232.74,529272
2024-06-19 00:00:00+05:30,233.7,244.9,228.72,235.84,446562
2024-06-20 00:00:00+05:30,237.5,238.45,234.01,234.64,99645
2024-06-21 00:00:00+05:30,235.0,236.9,232.0,232.8,78366
2024-06-24 00:00:00+05:30,232.0,235.48,229.0,231.24,77644
2024-06-25 00:00:00+05:30,231.26,236.8,229.0,230.14,121038
2024-06-26 00:00:00+05:30,231.75,231.75,225.75,226.58,77404
2024-06-27 00:00:00+05:30,226.58,230.19,220.01,220.74,91770
2024-06-28 00:00:00+05:30,221.9,226.0,221.22,222.21,72375
2024-07-01 00:00:00+05:30,223.1,226.38,222.81,223.85,109688
2024-07-02 00:00:00+05:30,225.45,228.0,220.5,222.25,85315
2024-07-03 00:00:00+05:30,223.9,228.91,223.01,224.69,87161
2024-07-04 00:00:00+05:30,224.9,229.0,224.0,226.24,104895
2024-07-05 00:00:00+05:30,227.0,235.65,225.85,233.14,182923
2024-07-08 00:00:00+05:30,234.7,237.06,228.04,230.82,107327
2024-07-09 00:00:00+05:30,231.74,237.71,226.91,227.84,149414
2024-07-10 00:00:00+05:30,228.84,235.0,222.41,229.85,90503
