date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,299.9,299.95,288.95,295.7,5475517
2024-06-04 00:00:00+05:30,294.85,294.85,266.15,266.15,8273636
2024-06-05 00:00:00+05:30,266.85,277.0,250.0,271.3,8004348
2024-06-06 00:00:00+05:30,276.0,287.0,273.65,285.3,6413863
2024-06-07 00:00:00+05:30,285.0,289.2,281.0,286.5,3346020
2024-06-10 00:00:00+05:30,288.5,290.35,282.15,283.8,2298512
2024-06-11 00:00:00+05:30,284.0,293.0,278.6,283.3,4952269
2024-06-12 00:00:00+05:30,284.0,285.35,281.55,283.75,3248140
2024-06-13 00:00:00+05:30,284.85,293.0,284.6,290.45,5021977
2024-06-14 00:00:00+05:30,291.6,308.8,290.95,300.4,11606983
2024-06-18 00:00:00+05:30,303.55,311.45,303.55,305.35,5638214
2024-06-19 00:00:00+05:30,308.15,309.95,301.5,302.2,3338510
2024-06-20 00:00:00+05:30,303.0,306.0,301.0,302.9,2784902
2024-06-21 00:00:00+05:30,303.5,317.95,301.3,309.9,24718528
2024-06-24 00:00:00+05:30,309.0,325.25,305.0,323.95,6142020
2024-06-25 00:00:00+05:30,326.3,330.0,315.15,318.15,4803557
2024-06-26 00:00:00+05:30,319.0,330.0,318.0,326.2,4339862
2024-06-27 00:00:00+05:30,326.2,327.2,315.1,318.95,2327916
2024-06-28 00:00:00+05:30,335.15,336.0,322.55,328.4,6507538
2024-07-01 00:00:00+05:30,330.4,358.8,330.0,353.2,11405514
2024-07-02 00:00:00+05:30,355.2,355.2,343.1,349.6,4292107
2024-07-03 00:00:00+05:30,353.1,355.0,345.3,348.25,3239958
2024-07-04 00:00:00+05:30,351.4,360.95,351.35,354.75,3685353
2024-07-05 00:00:00+05:30,353.7,358.9,350.0,356.65,1907398
2024-07-08 00:00:00+05:30,356.95,356.95,346.35,350.4,2429203
2024-07-09 00:00:00+05:30,350.9,353.15,341.0,344.15,1591528
2024-07-10 00:00:00+05:30,343.0,345.2,333.0,344.25,2814410
2024-07-11 00:00:00+05:30,346.8,350.9,342.25,343.45,1343316
2024-07-12 00:00:00+05:30,344.95,347.25,338.1,339.2,1717926
2024-07-15 00:00:00+05:30,341.0,344.1,331.25,342.15,2514260
2024-07-16 00:00:00+05:30,342.95,344.6,339.25,340.6,1256973
2024-07-18 00:00:00+05:30,342.0,342.95,333.5,336.1,1453667
2024-07-19 00:00:00+05:30,318.0,327.6,313.2,315.7,4955289
2024-07-22 00:00:00+05:30,320.4,321.6,308.05,317.45,4280385
2024-07-23 00:00:00+05:30,321.05,332.0,310.2,326.25,6772580
2024-07-24 00:00:00+05:30,330.7,340.0,328.5,338.8,2732511
2024-07-25 00:00:00+05:30,335.7,350.0,334.75,348.35,3389121
2024-07-26 00:00:00+05:30,351.0,354.5,341.8,343.75,2020520
2024-07-29 00:00:00+05:30,347.0,349.3,341.0,342.15,1794639
2024-07-30 00:00:00+05:30,341.95,345.4,336.0,337.4,1230522
2024-07-31 00:00:00+05:30,338.4,342.1,335.0,338.95,1220799
2024-08-01 00:00:00+05:30,340.4,342.0,331.0,331.75,1548936
2024-08-02 00:00:00+05:30,329.9,332.55,323.3,325.9,1627395
2024-08-05 00:00:00+05:30,313.0,323.95,311.05,313.95,2901908
2024-08-06 00:00:00+05:30,315.1,325.8,310.0,310.55,1867754
2024-08-07 00:00:00+05:30,316.0,322.8,313.5,320.25,1205526
2024-08-08 00:00:00+05:30,320.0,324.5,315.2,316.55,1100021
2024-08-09 00:00:00+05:30,321.0,322.8,317.3,318.05,1025808
2024-08-12 00:00:00+05:30,314.0,320.75,313.25,319.1,1047587
2024-08-13 00:00:00+05:30,320.15,321.85,313.6,314.65,871144
2024-08-14 00:00:00+05:30,315.2,316.55,309.05,310.25,977119
2024-08-16 00:00:00+05:30,311.0,315.4,310.25,313.6,950035
2024-08-19 00:00:00+05:30,316.95,317.75,313.0,313.7,1034202
2024-08-20 00:00:00+05:30,315.0,315.6,310.5,312.7,977387
2024-08-21 00:00:00+05:30,313.45,318.0,310.6,314.05,1160445
2024-08-22 00:00:00+05:30,314.95,315.0,312.25,312.7,723295
2024-08-23 00:00:00+05:30,313.6,313.65,310.5,310.95,786627
2024-08-26 00:00:00+05:30,313.9,313.95,308.65,309.15,740979
2024-08-27 00:00:00+05:30,310.5,334.95,310.5,332.5,8904177
2024-08-28 00:00:00+05:30,335.0,336.45,329.0,330.3,2838514
2024-08-29 00:00:00+05:30,330.0,335.0,323.0,325.75,1966091
2024-08-30 00:00:00+05:30,323.55,328.3,320.2,324.6,1323480
2024-09-02 00:00:00+05:30,324.6,325.95,316.4,319.35,1240710
2024-09-03 00:00:00+05:30,320.4,325.0,315.0,316.75,1325056
2024-09-04 00:00:00+05:30,313.6,316.2,309.3,309.9,1772987
2024-09-05 00:00:00+05:30,311.75,318.7,307.5,309.1,2692800
2024-09-06 00:00:00+05:30,309.1,310.95,302.25,307.0,2356170
2024-09-09 00:00:00+05:30,307.15,317.8,303.25,311.7,4069628
2024-09-10 00:00:00+05:30,314.75,318.6,313.0,316.0,2056026
