Symbol,Sector,Market Cap,Recommendation,Confidence (%),Risk:Reward,Current Price (₹),Target Price (₹),Stop Loss (₹),Upside (%),Risk (%),ETF,Timestamp
LIQUIDBEES.NS,ETF,Large Cap,BUY,80.73,24.28,1000.0,1083.9,996.55,8.39,0.35,Yes,2026-01-18 22:17:14
HNGSNGBEES.NS,ETF,Large Cap,BUY,75.08,2.71,534.57,600.35,510.28,12.31,4.76,Yes,2026-01-18 22:17:14
