ticker,market,sector,sub_sector,market_cap,is_etf
EUROBOND.NS,NSE,Others,Diversified,Small Cap,False
EUROPRATIK.BO,BSE,Others,Diversified,Small Cap,False
EUROPRATIK.NS,NSE,Others,Diversified,Small Cap,False
EUROTEXIND.BO,BSE,Others,Diversified,Small Cap,False
EUROTEXIND.NS,NSE,Others,Diversified,Small Cap,False
EVEREADY.BO,BSE,Others,Diversified,Small Cap,False
EVEREADY.NS,NSE,Others,Diversified,Small Cap,False
EVERESTIND.BO,BSE,Others,Diversified,Small Cap,False
EVERESTIND.NS,NSE,Others,Diversified,Small Cap,False
EXCEL.BO,BSE,Others,Diversified,Small Cap,False
EXCEL.NS,NSE,Others,Diversified,Small Cap,False
EXCELINDUS.BO,BSE,Others,Diversified,Small Cap,False
EXCELINDUS.NS,NSE,Others,Diversified,Small Cap,False
