ticker,market,sector,sub_sector,market_cap,is_etf
IGARASHI.BO,BSE,Others,Diversified,Small Cap,False
IGARASHI.NS,NSE,Others,Diversified,Small Cap,False
IGCL.BO,BSE,Others,Diversified,Small Cap,False
IGCL.NS,NSE,Others,Diversified,Small Cap,False
IGIL.BO,BSE,Others,Diversified,Small Cap,False
IGIL.NS,NSE,Others,Diversified,Small Cap,False
IGL.BO,BSE,Oil & Gas,Oil & Gas,Small Cap,False
IGL.NS,NSE,Oil & Gas,Oil & Gas,Small Cap,False
IGPL.BO,BSE,Others,Diversified,Small Cap,False
IGPL.NS,NSE,Others,Diversified,Small Cap,False
IIFL.BO,BSE,Others,Diversified,Small Cap,False
IIFL.NS,NSE,Others,Diversified,Small Cap,False
IIFLCAPS.BO,BSE,Others,Diversified,Small Cap,False
IIFLCAPS.NS,NSE,Others,Diversified,Small Cap,False
IITL.BO,BSE,Others,Diversified,Small Cap,False
IITL.NS,NSE,Others,Diversified,Small Cap,False
IKIO.BO,BSE,Others,Diversified,Small Cap,False
IKIO.NS,NSE,Others,Diversified,Small Cap,False
IKS.BO,BSE,Others,Diversified,Small Cap,False
IKS.NS,NSE,Others,Diversified,Small Cap,False
IMAGICAA.BO,BSE,Others,Diversified,Small Cap,False
IMAGICAA.NS,NSE,Others,Diversified,Small Cap,False
IMFA.BO,BSE,Others,Diversified,Small Cap,False
IMFA.NS,NSE,Others,Diversified,Small Cap,False
IMPAL.BO,BSE,Others,Diversified,Small Cap,False
IMPAL.NS,NSE,Others,Diversified,Small Cap,False
IMPEXFERRO.BO,BSE,Others,Diversified,Small Cap,False
IMPEXFERRO.NS,NSE,Others,Diversified,Small Cap,False
INCREDIBLE.BO,BSE,Others,Diversified,Small Cap,False
INCREDIBLE.NS,NSE,Others,Diversified,Small Cap,False
INDBANK.BO,BSE,Others,Diversified,Small Cap,False
INDBANK.NS,NSE,Others,Diversified,Small Cap,False
INDGN.BO,BSE,Others,Diversified,Small Cap,False
INDGN.NS,NSE,Others,Diversified,Small Cap,False
INDHOTEL.BO,BSE,Others,Diversified,Small Cap,False
INDHOTEL.NS,NSE,Others,Diversified,Small Cap,False
INDIACEM.BO,BSE,Others,Diversified,Small Cap,False
INDIACEM.NS,NSE,Others,Diversified,Small Cap,False
INDIAGLYCO.BO,BSE,Others,Diversified,Small Cap,False
INDIAGLYCO.NS,NSE,Others,Diversified,Small Cap,False
INDIAMART.BO,BSE,Others,Diversified,Small Cap,False
INDIAMART.NS,NSE,Others,Diversified,Small Cap,False
INDIANB.BO,BSE,Financial Services,Financial Services,Small Cap,False
INDIANB.NS,NSE,Financial Services,Financial Services,Small Cap,False
INDIANCARD.BO,BSE,Others,Diversified,Small Cap,False
INDIANCARD.NS,NSE,Others,Diversified,Small Cap,False
INDIANHUME.BO,BSE,Others,Diversified,Small Cap,False
INDIANHUME.NS,NSE,Others,Diversified,Small Cap,False
INDIASHLTR.BO,BSE,Others,Diversified,Small Cap,False
INDIASHLTR.NS,NSE,Others,Diversified,Small Cap,False
INDIGO.BO,BSE,Others,Diversified,Small Cap,False
INDIGO.NS,NSE,Others,Diversified,Mid Cap,False
INDIGOPNTS.BO,BSE,Others,Diversified,Small Cap,False
INDIGOPNTS.NS,NSE,Others,Diversified,Small Cap,False
INDIQUBE.BO,BSE,Others,Diversified,Small Cap,False
