symbol,entry_time,exit_time,days_held,entry_price,exit_price,qty,invested,reason,gross_pnl,charges,net_pnl,win
IDFCFIRSTB,2025-03-20 00:00:00+05:30,2025-04-08 00:00:00+05:30,12,55.62432,55.138083,539,29981.508479999997,Trailing Stop,262.08174299999763,12.81655159448895,249.2651914055087,1
POLYCAB,2025-03-24 00:00:00+05:30,2025-04-08 00:00:00+05:30,10,5014.98,4800.14535,5,25074.899999999998,Trailing Stop,1074.173249999999,10.599923587612498,1063.5733264123865,1
LTTS,2025-03-26 00:00:00+05:30,2025-04-08 00:00:00+05:30,8,4620.4249500000005,4168.4643,6,27722.549700000003,Trailing Stop,2711.7639000000054,11.506772756924999,2700.2571272430805,1
DELHIVERY,2025-03-26 00:00:00+05:30,2025-04-08 00:00:00+05:30,8,257.8419,250.675425,77,19853.8263,Trailing Stop,551.8185750000015,8.434439416383752,543.3841355836178,1
TIINDIA,2025-03-27 00:00:00+05:30,2025-04-08 00:00:00+05:30,7,2698.299,2617.1670525,11,29681.289,Trailing Stop,892.4514225000003,12.600005488574626,879.8514170114256,1
TATAELXSI,2025-04-16 00:00:00+05:30,2025-04-22 00:00:00+05:30,3,4943.052,5442.7945572,4,19772.208,Max Loss Stop (10%),-1998.9702288000008,8.754902070983277,-2007.725130870984,0
TITAN,2025-03-26 00:00:00+05:30,2025-04-23 00:00:00+05:30,16,3065.88105,3375.841624155,9,27592.92945,Max Loss Stop (10%),-2789.645167394999,12.217825909291491,-2801.8629933042907,0
MPHASIS,2025-04-16 00:00:00+05:30,2025-04-23 00:00:00+05:30,4,2267.8298999999997,2497.1075028899995,13,29481.788699999997,Max Loss Stop (10%),-2980.6088375699974,13.054190657205377,-2993.6630282272026,0
JSWENERGY,2025-04-23 00:00:00+05:30,2025-04-30 00:00:00+05:30,5,513.2862,486.63615,58,29770.5996,Trailing Stop,1545.7029000000011,12.547262349405003,1533.1556376505962,1
COALINDIA,2025-04-30 00:00:00+05:30,2025-05-08 00:00:00+05:30,5,388.71090000000004,389.203815,51,19824.255900000004,Trailing Stop,-25.138664999999094,8.50216157729775,-33.64082657729684,0
ASTRAL,2025-03-24 00:00:00+05:30,2025-05-12 00:00:00+05:30,30,1300.24845,1331.6302999999998,23,29905.714350000002,Time Stop (30d),-721.7825499999944,12.921160140187498,-734.7037101401819,0
LTTS,2025-04-22 00:00:00+05:30,2025-05-12 00:00:00+05:30,13,4365.63,4204.2,4,17462.52,Trailing Stop,645.7200000000012,7.396201242,638.3237987580012,1
ESCORTS,2025-05-09 00:00:00+05:30,2025-05-13 00:00:00+05:30,2,3132.864,3449.5965504,6,18797.184,Max Loss Stop (10%),-1900.3953024000002,8.323172866189442,-1908.7184752661897,0
TATASTEEL,2025-04-23 00:00:00+05:30,2025-05-14 00:00:00+05:30,14,139.25061,153.32884667099998,215,29938.881149999997,Max Loss Stop (10%),-3026.820884264997,13.256585839227327,-3040.077470104224,0
DLF,2025-04-28 00:00:00+05:30,2025-05-16 00:00:00+05:30,13,654.345,720.4992795000001,30,19630.350000000002,Max Loss Stop (10%),-1984.628385000001,8.69208901044975,-1993.3204740104507,0
CONCOR,2025-05-02 00:00:00+05:30,2025-05-19 00:00:00+05:30,11,539.01045,593.504406495,37,19943.38665,Max Loss Stop (10%),-2016.2763903150008,8.830697971845396,-2025.1070882868462,0
IRCTC,2025-05-08 00:00:00+05:30,2025-05-19 00:00:00+05:30,7,744.255,819.4991805,26,19350.63,Max Loss Stop (10%),-1956.3486929999992,8.56823227136955,-1964.9169252713689,0
OBEROIRLTY,2025-05-14 00:00:00+05:30,2025-05-20 00:00:00+05:30,4,1588.6098,1749.2182507799998,12,19063.3176,Max Loss Stop (10%),-1927.3014093599986,8.441013706514315,-1935.7424230665129,0
