=================================================================
Loading data: 2024-06-01 → 2025-07-01 (13 months)
=================================================================
  Nifty 50: 269 candles
  Loaded 143 stocks

=================================================================
PASS 1: Scanning for signals (NO RS filter, conf ≥ 70%)...
=================================================================
  [93/143] NAM-INDIA... 6
  [94/143] NAUKRI... 3
  [95/143] NESTLEIND... 6
  [96/143] NHPC... 6
  [97/143] NMDC... 0
  [98/143] NTPC... 1
  [99/143] OBEROIRLTY... 1
  [100/143] ONGC... 0
  [101/143] PAGEIND... 6
  [102/143] PERSISTENT... 0
  [103/143] PETRONET... 0
  [104/143] PFC... 0
  [105/143] PHOENIXLTD... 1
  [106/143] PIDILITIND... 6
  [107/143] PNB... 1
  [108/143] POLYCAB... 0
  [109/143] POONAWALLA... 0
  [110/143] POWERGRID... 2
  [111/143] PRESTIGE... 0
  [112/143] RAMCOCEM... 2
  [113/143] RECLTD... 0
  [114/143] RELAXO... 0
  [115/143] RELIANCE... 2
  [116/143] SAIL... 0
  [117/143] SBILIFE... 9
  [118/143] SBIN... 2
  [119/143] SHRIRAMFIN... 3
  [120/143] SJVN... 0
  [121/143] SOLARINDS... 2
  [122/143] SUNDARMFIN... 0
  [123/143] SUNPHARMA... 2
  [124/143] SUNTV... 0
  [125/143] SUPREMEIND... 1
  [126/143] SYNGENE... 0
  [127/143] TATACHEM... 0
  [128/143] TATACONSUM... 6
  [129/143] TATAELXSI... 0
  [130/143] TATASTEEL... 0
  [131/143] TCS... 0
  [132/143] TECHM... 2
  [133/143] THERMAX... 0
  [134/143] TIINDIA... 0
  [135/143] TITAN... 1
  [136/143] TORNTPHARM... 2
  [137/143] TRENT... 0
  [138/143] TVSMOTOR... 2
  [139/143] ULTRACEMCO... 2
  [140/143] VEDL... 1
  [141/143] VOLTAS... 0
  [142/143] WIPRO... 0
  [143/143] ZYDUSLIFE... 0

  📊 Total signals: 257
  📅 Range: 2025-03-20 → 2025-07-01
/Users/lexplosion/Trades/stock-market/backtests/backtest_1lakh_jun24_jul25.py:213: UserWarning: Converting to PeriodArray/Index representation will drop timezone information.
  sdf['month'] = sdf['entry_date'].dt.to_period('M')

  📅 Signals by month:
    2025-03: 11 signals
    2025-04: 73 signals
    2025-05: 80 signals
    2025-06: 87 signals
    2025-07: 6 signals

=================================================================
PASS 2: ₹100,000 portfolio | ₹20,000/position | 5 slots
=================================================================
  🟢 BUY KOTAKBANK    ₹  406.61 x  49 = ₹ 19,924 | Cash: ₹80,076
  🟢 BUY INDIGO       ₹ 5025.02 x   3 = ₹ 15,075 | Cash: ₹65,001
  🟢 BUY SBILIFE      ₹ 1542.94 x  12 = ₹ 18,515 | Cash: ₹46,486
  🟢 BUY ICICIBANK    ₹ 1334.48 x  14 = ₹ 18,683 | Cash: ₹27,803
  🟢 BUY BHARTIARTL   ₹ 1741.69 x  11 = ₹ 19,159 | Cash: ₹8,645
  ✅ KOTAKBANK    TARGET HIT   18d | ₹+1,651 | Cash: ₹30,220
  🟢 BUY FEDERALBNK   ₹  196.20 x 101 = ₹ 19,816 | Cash: ₹10,404
  ✅ INDIGO       TARGET HIT   15d | ₹+1,455 | Cash: ₹26,934
  🟢 BUY SUNPHARMA    ₹ 1752.75 x  11 = ₹ 19,280 | Cash: ₹7,654
  ✅ ICICIBANK    TARGET HIT   37d | ₹+1,789 | Cash: ₹28,125
  🟢 BUY BANKINDIA    ₹  117.52 x 170 = ₹ 19,978 | Cash: ₹8,147
  ✅ SBILIFE      TARGET HIT   40d | ₹+3,245 | Cash: ₹29,907
  🟢 BUY NESTLEIND    ₹ 1211.91 x  16 = ₹ 19,391 | Cash: ₹10,517
  ✅ BHARTIARTL   TARGET HIT   56d | ₹+1,874 | Cash: ₹31,550
  🟢 BUY TECHM        ₹ 1681.68 x  11 = ₹ 18,498 | Cash: ₹13,051

  📋 Closing 5 open positions...
  ✅ FEDERALBNK   END  51d | ₹+2,206
  ❌ SUNPHARMA    END  50d | ₹-1,001
  ✅ BANKINDIA    END  27d | ₹+542
  ❌ NESTLEIND    END  24d | ₹-173
  ❌ TECHM        END   8d | ₹-175

=================================================================
💰 ₹1L PORTFOLIO — NO RS — 2024-06-01 to 2025-07-01
=================================================================
Starting Capital:   ₹   100,000
Final Capital:      ₹   111,413
TOTAL RETURN:       ₹   +11,413 (+11.41%)
Position Size:      ₹20,000 (5 slots)
-----------------------------------------------------------------
Total Trades:       10
Win Rate:           70.0% (7W / 3L)
-----------------------------------------------------------------
Gross P&L:          ₹   +11,845
Total Charges:      ₹       432
NET P&L:            ₹   +11,413
-----------------------------------------------------------------
Avg Win:            ₹    +1,823
Avg Loss:           ₹      -450
Max Win:            ₹    +3,245
Max Loss:           ₹    -1,001
=================================================================

📋 Trade Journal:
------------------------------------------------------------------------------------------------------------------------
  ✅ KOTAKBANK    | 2025-03-20 → 2025-04-21 |  18d | ₹ 19,924 | ₹ +1,651 | Target Hit
  ✅ INDIGO       | 2025-03-26 → 2025-04-22 |  15d | ₹ 15,075 | ₹ +1,455 | Target Hit
  ✅ ICICIBANK    | 2025-03-27 → 2025-05-26 |  37d | ₹ 18,683 | ₹ +1,789 | Target Hit
  ✅ SBILIFE      | 2025-03-27 → 2025-05-29 |  40d | ₹ 18,515 | ₹ +3,245 | Target Hit
  ✅ BHARTIARTL   | 2025-03-27 → 2025-06-20 |  56d | ₹ 19,159 | ₹ +1,874 | Target Hit
  ✅ FEDERALBNK   | 2025-04-21 → 2025-07-01 |  51d | ₹ 19,816 | ₹ +2,206 | End of Backtest
  ❌ SUNPHARMA    | 2025-04-22 → 2025-07-01 |  50d | ₹ 19,280 | ₹ -1,001 | End of Backtest
  ✅ BANKINDIA    | 2025-05-26 → 2025-07-01 |  27d | ₹ 19,978 | ₹   +542 | End of Backtest
  ❌ NESTLEIND    | 2025-05-29 → 2025-07-01 |  24d | ₹ 19,391 | ₹   -173 | End of Backtest
  ❌ TECHM        | 2025-06-20 → 2025-07-01 |   8d | ₹ 18,498 | ₹   -175 | End of Backtest

📊 By Exit Reason:
  End of Backtest     : 5 trades | ₹+1,399
  Target Hit          : 5 trades | ₹+10,014

Saved to 'backtest_1lakh_jun24_jul25_trades.csv'
