ticker,market
AYMSYNTEX.NS,NSE
AZAD.NS,NSE
BAFNAPH.NS,NSE
BAGFILMS.NS,NSE
BAIDFIN.NS,NSE
BAJAJ-AUTO.NS,NSE
BAJAJCON.NS,NSE
BAJAJELEC.NS,NSE
BAJAJFINSV.NS,NSE
BAJAJHCARE.NS,NSE
BAJAJHFL.NS,NSE
BAJAJHIND.NS,NSE
BAJAJHLDNG.NS,NSE
BAJAJINDEF.NS,NSE
BAJEL.NS,NSE
BAJFINANCE.NS,NSE
BALAJEE.NS,NSE
BALAJITELE.NS,NSE
BALAMINES.NS,NSE
BALAXI.NS,NSE
BALKRISHNA.NS,NSE
BALKRISIND.NS,NSE
BALMLAWRIE.NS,NSE
BALPHARMA.NS,NSE
BALRAMCHIN.NS,NSE
BALUFORGE.NS,NSE
BANARBEADS.NS,NSE
BANARISUG.NS,NSE
BANCOINDIA.NS,NSE
BANDHANBNK.NS,NSE
BANG.NS,NSE
BANKA.NS,NSE
BANKBARODA.NS,NSE
BANKINDIA.NS,NSE
BANSALWIRE.NS,NSE
BANSWRAS.NS,NSE
BASF.NS,NSE
BASML.NS,NSE
BATAINDIA.NS,NSE
BAYERCROP.NS,NSE
BBL.NS,NSE
BBOX.NS,NSE
BBTC.NS,NSE
BBTCL.NS,NSE
BCG.NS,NSE
BCLIND.NS,NSE
BCONCEPTS.NS,NSE
BDL.NS,NSE
BEARDSELL.NS,NSE
BECTORFOOD.NS,NSE
BEDMUTHA.NS,NSE
BEL.NS,NSE
BELLACASA.NS,NSE
BELRISE.NS,NSE
BEML.NS,NSE
BEPL.NS,NSE
BERGEPAINT.NS,NSE
BESTAGRO.NS,NSE
BETA.NS,NSE
BFINVEST.NS,NSE
BFUTILITIE.NS,NSE
BGRENERGY.NS,NSE
BHAGCHEM.NS,NSE
BHAGERIA.NS,NSE
BHAGYANGR.NS,NSE
BHANDARI.NS,NSE
BHARATFORG.NS,NSE
BHARATGEAR.NS,NSE
BHARATRAS.NS,NSE
BHARATSE.NS,NSE
BHARATWIRE.NS,NSE
BHARTIARTL.NS,NSE
BHARTIHEXA.NS,NSE
BHEL.NS,NSE
BIGBLOC.NS,NSE
BIKAJI.NS,NSE
BIL.NS,NSE
BILVYAPAR.NS,NSE
BIOCON.NS,NSE
BIOFILCHEM.NS,NSE
BIRLACABLE.NS,NSE
BIRLACORPN.NS,NSE
BIRLAMONEY.NS,NSE
BIRLANU.NS,NSE
BLACKBUCK.NS,NSE
BLAL.NS,NSE
BLBLIMITED.NS,NSE
BLISSGVS.NS,NSE
BLKASHYAP.NS,NSE
BLS.NS,NSE
BLSE.NS,NSE
BLUECOAST.NS,NSE
BLUEDART.NS,NSE
BLUEJET.NS,NSE
BLUESTARCO.NS,NSE
BLUESTONE.NS,NSE
BLUSPRING.NS,NSE
BMWVENTLTD.NS,NSE
BODALCHEM.NS,NSE
BOHRAIND.NS,NSE
BOMDYEING.NS,NSE
BORANA.NS,NSE
BOROLTD.NS,NSE
BORORENEW.NS,NSE
BOROSCI.NS,NSE
BOSCH-HCIL.NS,NSE
BOSCHLTD.NS,NSE
BPCL.NS,NSE
BPL.NS,NSE
BRIGADE.NS,NSE
BRIGHOTEL.NS,NSE
BRITANNIA.NS,NSE
BRNL.NS,NSE
BROOKS.NS,NSE
BSE.NS,NSE
BSHSL.NS,NSE
BSL.NS,NSE
BSOFT.NS,NSE
BTML.NS,NSE
BUILDPRO.NS,NSE
BUTTERFLY.NS,NSE
BVCL.NS,NSE
BYKE.NS,NSE
CALSOFT.NS,NSE
CAMLINFINE.NS,NSE
