ticker,market,company_name,current_price,market_cap_crores,market_cap_category,volume,avg_volume,week_52_high,week_52_low,price_change_52w_pct,pe_ratio,pb_ratio,dividend_yield,beta,eps,roe,debt_to_equity,current_ratio
20MICRONS.NS,NSE,20 MICRONS LTD,201.01,711.49,Small Cap,135437,,,,,,1.56,0,0.52,17.68,14.79,35.64,1.78
21STCENMGM.NS,NSE,21ST CENTURY MGMT SERVICE,47.37,49.74,Small Cap,1311,,,,,,1.05,0,0.68,-19.14,-28.15,,7.87
360ONE.NS,NSE,360 ONE WAM LIMITED,1182.90,47939.43,Large Cap,1029259,,,,,,5.12,0,0.33,27.65,16.99,147.24,3.16
3IINFOLTD.NS,NSE,3I INFOTECH LIMITED,16.20,336.54,Small Cap,702748,,,,,,0.89,0,-0.51,3.94,23.16,10.76,1.33
3MINDIA.NS,NSE,3M INDIA LIMITED,34830.00,39236.24,Large Cap,2631,,,,,,24.36,0,-0.05,491.74,33.83,6.42,2.28
5PAISA.NS,NSE,5PAISA CAPITAL LIMITED,373.70,1167.41,Small Cap,142557,,,,,,1.86,0,0.19,15.12,7.87,46.39,6.99
63MOONS.NS,NSE,63 MOONS TECHNOLOGIES LTD,679.65,3131.91,Small Cap,126241,,,,,,0.90,0,0.48,-7.06,-1.77,0.15,9.92
A2ZINFRA.NS,NSE,A2Z INFRA ENGINEERING LTD,14.86,262.49,Small Cap,316454,,,,,,5.52,0,0.11,0.14,-1.86,353.89,0.79
AAATECH.NS,NSE,AAA TECHNOLOGIES LIMITED,98.39,126.20,Small Cap,30061,,,,,,4.10,0,0.31,2.74,11.72,,9.66
AADHARHFC.NS,NSE,AADHAR HOUSING FINANCE L,488.00,21169.26,Large Cap,107965,,,,,,3.06,0,,22.38,15.48,255.35,45.20
AAKASH.NS,NSE,AAKASH EXPLORATION SER L,8.62,87.28,Small Cap,42008,,,,,,1.30,0,-0.36,-0.05,2.23,53.68,0.73
AAREYDRUGS.NS,NSE,AAREY DRUGS & PHARM LTD,67.85,192.38,Small Cap,373080,,,,,,1.28,0,0.52,1.26,2.52,38.27,1.79
AARON.NS,NSE,AARON INDUSTRIES LIMITED,168.79,353.56,Small Cap,5754,,,,,,7.94,0,-0.51,3.34,16.94,72.44,1.27
AARTECH.NS,NSE,AARTECH SOLONICS LIMITED,54.87,174.32,Small Cap,87643,,,,,,5.15,0,0.68,0.93,9.07,15.97,3.25
AARTIDRUGS.NS,NSE,AARTI DRUGS LTD.,392.80,3587.04,Small Cap,104448,,,,,,2.64,0,0.18,21.74,14.49,39.05,1.68
AARTIIND.NS,NSE,AARTI INDUSTRIES LTD,368.65,13372.37,Mid Cap,373789,,,,,,2.35,0,0.39,8.01,5.21,69.56,0.78
AARTIPHARM.NS,NSE,AARTI PHARMALABS LIMITED,730.35,6620.43,Mid Cap,76670,,,,,,3.24,0,-0.35,26.45,12.29,32.97,1.64
AARTISURF.NS,NSE,AARTI SURFACTANTS LIMITED,376.15,318.41,Small Cap,8395,,,,,,1.34,0,0.39,17.76,6.54,49.93,1.36
AARVI.NS,NSE,AARVI ENCON LIMITED,136.40,202.02,Small Cap,108587,,,,,,1.53,0,-0.23,9.60,11.41,24.18,2.05
