symbol,entry_time,exit_time,days_held,entry_price,exit_price,qty,invested,reason,gross_pnl,charges,net_pnl,win
KOTAKBANK,2025-03-20 00:00:00+05:30,2025-04-25 00:00:00+05:30,22,406.60619999999994,436.9426199999999,61,24802.978199999998,Trailing Stop,1850.5216199999986,57.201737160087,1793.3198828399115,1
ULTRACEMCO,2025-04-08 00:00:00+05:30,2025-07-01 00:00:00+05:30,57,11329.067749999998,12197.79,2,22658.135499999997,End of Backtest,1737.444500000005,52.303999529925,1685.14050047008,1
FEDERALBNK,2025-04-09 00:00:00+05:30,2025-07-01 00:00:00+05:30,56,190.6905,218.50128,131,24980.455499999996,End of Backtest (was trailing),3643.212180000003,59.460513752133,3583.75166624787,1
HDFCBANK,2025-04-15 00:00:00+05:30,2025-07-01 00:00:00+05:30,54,933.4324999999999,1004.994,26,24269.244999999995,End of Backtest (was trailing),1860.5990000000036,56.022679902149996,1804.5763200978536,1
APOLLOHOSP,2025-04-28 00:00:00+05:30,2025-07-01 00:00:00+05:30,46,6961.454499999999,7488.504,3,20884.363499999996,End of Backtest,1581.148500000003,48.18834762592499,1532.960152374078,1
